あかきりゅう	赤き竜	名詞	
あくああくとれす	アクアアクトレス	名詞	
あくまじょう	悪魔嬢	名詞	
あだましあ	アダマシア	名詞	
あっといぐにすたー	＠イグニスター	名詞	
あどばんすどほうぎょくじゅう	A宝玉獣	名詞	
アマゾネス	アマゾネス	名詞	
あめいずめんと	アメイズメント	名詞	
あもるふぁーじ	アモルファージ	名詞	
みわくのじょおう	魅惑の女王	名詞	
あるかなふぉーす	アルカナフォース	名詞	
あるばすのらくいん	アルバスの落胤	名詞	
あろま	アロマ	名詞	
あんこくかい	暗黒界	名詞	
あんこくきしがいあ	暗黒騎士ガイア	名詞	
あんてぃーくぎあ	アンティーク・ギア	名詞	
あんぶらる	アンブラル	名詞	
あーてぃふぁくと	アーティファクト	名詞	
あーまーどえくしーず	アーマード・エクシーズ	名詞	
あーむどどらごん	アームド・ドラゴン	名詞	
あーりーおぶじゃすてぃす	A・O・J	名詞	
いぐないと	イグナイト	名詞	
いびるついん	イビルツイン	名詞	
いんぜくたー	甲虫装機	名詞	
いんふぇるにてぃ	インフェルニティ	名詞	
いんふぇるのいど	インフェルノイド	名詞	
いんゔぇるず	インヴェルズ	名詞	
いーびるひーろー	E-HERO	名詞	
うぃっちくらふと	ウィッチクラフト	名詞	
うぃんどうぃっち	WW	名詞	
うぉーくらい	ウォークライ	名詞	
うみ	海	名詞	
うらないまじょ	占い魔女	名詞	
うるとらあすりーと	U.A.	名詞	
えくそしすたー	エクソシスター	名詞	
えすぷりっと	エスプリット	名詞	
えっくすわいぜっと	XYZ	名詞	
えっくすせいばー	X－セイバー	名詞	
えっじいんぷ	エッジインプ	名詞	
えるどりっち	エルドリッチ	名詞	
えれき	エレキ	名詞	
えれめんたるひーろー	E・HERO	名詞	
えれめんたるひーろーねおす	E・HERO ネオス	名詞	
えれめんとせいばー	エレメントセイバー	名詞	
えんおう	炎王	名詞	
えんせい	炎星	名詞	
えんせいきし	焔聖騎士	名詞	
えんためいじ	Em	名詞	
えんためいと	EM	名詞	
えんでぃみおん	エンディミオン	名詞	
えゔぉる	エヴォル	名詞	
えーびーしー	ABC	名詞	
えーりあん	エーリアン	名詞	
おしりすのてんくうりゅう	オシリスの天空竜	名詞	
おじゃま	おジャマ	名詞	
おっどあいず	オッドアイズ	名詞	
おのまと	オノマト	名詞	
おべりすくのきょしんへい	オベリスクの巨神兵	名詞	
おるたーがいすと	オルターガイスト	名詞	
おるふぇごーる	オルフェゴール	名詞	
おーぱーつ	先史遺産	名詞	
かいおう	海皇	名詞	
かいじゅう	壊獣	名詞	
かおす・そるじゃー	カオス・ソルジャー	名詞	
かげろくぶしゅう	影六武衆	名詞	
かごうじゅう	化合獣	名詞	
かせき	化石	名詞	
からくり	カラクリ	名詞	
かーでぃあん	花札衛	名詞	
がえる	ガエル	名詞	
ががが	ガガガ	名詞	
がじぇっと	ガジェット	名詞	
がすた	ガスタ	名詞	
がーでぃあん	ガーディアン	名詞	
きかい	機塊	名詞	
きこう	機巧	名詞	
きこう	機皇	名詞	
きぼうおうほーぷ	希望皇ホープ	名詞	
きょくせい	極星	名詞	
きょだいせんかん	巨大戦艦	名詞	
きんじられた	禁じられた	名詞	
ぎあぎあ	ギアギア	名詞	
ぎみっくぱぺっと	ギミック・パペット	名詞	
ぎゃらくしー	ギャラクシー	名詞	
くうがだん	空牙団	名詞	
くしゃとりら	クシャトリラ	名詞	
くらうでぃあん	雲魔物	名詞	
くりすとろん	クリストロン	名詞	
くりふぉーと	クリフォート	名詞	
くりぼー	クリボー	名詞	
くろのだいばー	クロノダイバー	名詞	
くろーらー	クローラー	名詞	
ぐらでぃあるびーすと	剣闘獣	名詞	
ぐれいどる	グレイドル	名詞	
ぐんかん	軍貫	名詞	
げんこうりゅう	幻煌龍	名詞	
げんじゅう	幻獣	名詞	
げんじゅうき	幻獣機	名詞	
げんせとめいかいのぎゃくてん	現世と冥界の逆転	名詞	
げんそう	幻奏	名詞	
げんま	幻魔	名詞	
げんまおうらびえる	幻魔皇ラビエル	名詞	
げーとがーでぃあん	ゲート・ガーディアン	名詞	
こあきめいる	コアキメイル	名詞	
こうらいおうはもん	降雷皇ハモン	名詞	
こくーん	C	名詞	
こずも	Kozmo	名詞	
こわくま	蟲惑魔	名詞	
こんとんげんまあーみたいる	混沌幻魔アーミタイル	名詞	
こーどぶれいかー	コードブレイカー	名詞	
こーどとーかー	コード・トーカー	名詞	
ごうき	剛鬼	名詞	
ごごご	ゴゴゴ	名詞	
ごぶりん	ゴブリン	名詞	
ごぶりんらいだー	ゴブリンライダー	名詞	
ごよう	ゴヨウ	名詞	
ごーすとりっく	ゴーストリック	名詞	
ごーてぃす	ゴーティス	名詞	
ごーるどぷらいど	GP	名詞	
よみ	PSYフレーム	名詞	
よみ	サイバネット	名詞	
よみ	サイバー	名詞	
よみ	サイバー・エンジェル	名詞	
